Group,Date,Posts,
2013,12/18/13,224,
2013,12/19/13,224,
2013,12/20/13,193,
2013,12/21/13,221,
2013,12/22/13,188,
2013,12/23/13,182,
2013,12/24/13,120,1352
2013,12/25/13,1655,1655
2013,12/26/13,507,
2013,12/27/13,174,
2013,12/28/13,219,
2013,12/29/13,201,
2013,12/30/13,192,
2013,12/31/13,173,
2013,01/01/14,206,1672
2014,12/18/14,254,
2014,12/19/14,230,
2014,12/20/14,217,
2014,12/21/14,234,
2014,12/22/14,225,
2014,12/23/14,227,
2014,12/24/14,166,1553
2014,12/25/14,128,128
2014,12/26/14,225,
2014,12/27/14,217,
2014,12/28/14,243,
2014,12/29/14,222,
2014,12/30/14,250,
2014,12/31/14,194,
2014,01/01/15,317,1668
2015,12/18/15,289,
2015,12/19/15,394,
2015,12/20/15,381,
2015,12/21/15,315,
2015,12/22/15,234,
2015,12/23/15,260,
2015,12/24/15,218,2091
2015,12/25/15,148,148
2015,12/26/15,298,
2015,12/27/15,220,
2015,12/28/15,423,
2015,12/29/15,421,
2015,12/30/15,306,
2015,12/31/15,403,
2015,01/01/16,200,2271
2016,12/18/16,408,
2016,12/19/16,292,
2016,12/20/16,308,
2016,12/21/16,337,
2016,12/22/16,315,
2016,12/23/16,215,
2016,12/24/16,179,2054
2016,12/25/16,158,158
2016,12/26/16,302,
2016,12/27/16,290,
2016,12/28/16,301,
2016,12/29/16,292,
2016,12/30/16,278,
2016,12/31/16,303,
2016,01/01/17,280,2046
2017,12/18/17,371,
2017,12/19/17,340,
2017,12/20/17,472,
2017,12/21/17,355,
2017,12/22/17,386,
2017,12/23/17,583,
2017,12/24/17,299,2806
2017,12/25/17,202,202
2017,12/26/17,450,
2017,12/27/17,426,
2017,12/28/17,389,
2017,12/29/17,339,
2017,12/30/17,424,
2017,12/31/17,363,
2017,01/01/18,390,2781
2018,12/18/18,640,
2018,12/19/18,447,
2018,12/20/18,364,
2018,12/21/18,344,
2018,12/22/18,565,
2018,12/23/18,379,
2018,12/24/18,214,2953
2018,12/25/18,3333,3333
2018,12/26/18,491,
2018,12/27/18,319,
2018,12/28/18,320,
2018,12/29/18,503,
2018,12/30/18,350,
2018,12/31/18,254,
2018,01/01/19,319,2555
